t,K,Z
0.28,1.14915,0.510302
0.281,1.14972,0.510378
0.282,1.15028,0.510454
0.283,1.15084,0.510531
0.284,1.1514,0.510608
0.285,1.15197,0.510685
0.286,1.15253,0.510763
0.287,1.1531,0.510841
0.288,1.15366,0.510919
0.289,1.15422,0.510997
0.29,1.15479,0.511076
0.291,1.15535,0.511155
0.292,1.15592,0.511235
0.293,1.15648,0.511314
0.294,1.15705,0.511394
0.295,1.15761,0.511475
0.296,1.15818,0.511555
0.297,1.15874,0.511636
0.298,1.15931,0.511718
0.299,1.15988,0.511799
0.3,1.16044,0.511881
0.301,1.16101,0.511963
0.302,1.16158,0.512045
0.303,1.16214,0.512128
0.304,1.16271,0.512211
0.305,1.16328,0.512295
0.306,1.16384,0.512378
0.307,1.16441,0.512462
0.308,1.16498,0.512546
0.309,1.16555,0.512631
0.31,1.16611,0.512716
0.311,1.16668,0.512801
0.312,1.16725,0.512886
0.313,1.16782,0.512972
0.314,1.16839,0.513058
0.315,1.16896,0.513145
0.316,1.16953,0.513231
0.317,1.1701,0.513318
0.318,1.17067,0.513406
0.319,1.17124,0.513493
0.32,1.17181,0.513581
0.321,1.17238,0.51367
0.322,1.17295,0.513758
0.323,1.17352,0.513847
0.324,1.17409,0.513936
0.325,1.17466,0.514026
0.326,1.17523,0.514115
0.327,1.1758,0.514205
0.328,1.17637,0.514296
0.329,1.17694,0.514387
0.33,1.17751,0.514478
0.331,1.17808,0.514569
0.332,1.17866,0.51466
0.333,1.17923,0.514752
0.334,1.1798,0.514845
0.335,1.18037,0.514937
0.336,1.18095,0.51503
0.337,1.18152,0.515123
0.338,1.18209,0.515217
0.339,1.18266,0.515311
0.34,1.18324,0.515405
0.341,1.18381,0.515499
0.342,1.18438,0.515594
0.343,1.18496,0.515689
0.344,1.18553,0.515784
0.345,1.18611,0.51588
0.346,1.18668,0.515976
0.347,1.18725,0.516072
0.348,1.18783,0.516169
0.349,1.1884,0.516266
0.35,1.18898,0.516363
0.351,1.18955,0.516461
0.352,1.19013,0.516559
0.353,1.1907,0.516657
0.354,1.19128,0.516756
0.355,1.19186,0.516854
0.356,1.19243,0.516954
0.357,1.19301,0.517053
0.358,1.19358,0.517153
0.359,1.19416,0.517253
0.36,1.19474,0.517353
0.361,1.19531,0.517454
0.362,1.19589,0.517555
0.363,1.19647,0.517657
0.364,1.19704,0.517758
0.365,1.19762,0.51786
0.366,1.1982,0.517963
0.367,1.19878,0.518065
0.368,1.19935,0.518168
0.369,1.19993,0.518272
0.37,1.20051,0.518375
0.371,1.20109,0.518479
0.372,1.20167,0.518583
0.373,1.20224,0.518688
0.374,1.20282,0.518793
0.375,1.2034,0.518898
0.376,1.20398,0.519004
0.377,1.20456,0.51911
0.378,1.20514,0.519216
0.379,1.20572,0.519322
0.38,1.2063,0.519429
0.381,1.20688,0.519536
0.382,1.20746,0.519644
0.383,1.20804,0.519751
0.384,1.20862,0.51986
0.385,1.2092,0.519968
0.386,1.20978,0.520077
0.387,1.21036,0.520186
0.388,1.21094,0.520295
0.389,1.21152,0.520405
0.39,1.2121,0.520515
0.391,1.21268,0.520626
0.392,1.21326,0.520736
0.393,1.21385,0.520847
0.394,1.21443,0.520959
0.395,1.21501,0.52107
0.396,1.21559,0.521183
0.397,1.21617,0.521295
0.398,1.21676,0.521408
0.399,1.21734,0.521521
0.4,1.21792,0.521634
0.401,1.2185,0.521748
0.402,1.21909,0.521862
0.403,1.21967,0.521976
0.404,1.22025,0.522091
0.405,1.22084,0.522206
0.406,1.22142,0.522321
0.407,1.222,0.522437
0.408,1.22259,0.522553
0.409,1.22317,0.522669
0.41,1.22375,0.522785
0.411,1.22434,0.522902
0.412,1.22492,0.52302
0.413,1.22551,0.523137
0.414,1.22609,0.523255
0.415,1.22667,0.523374
0.416,1.22726,0.523492
0.417,1.22784,0.523611
0.418,1.22843,0.523731
0.419,1.22901,0.52385
0.42,1.2296,0.52397
0.421,1.23018,0.524091
0.422,1.23077,0.524211
0.423,1.23136,0.524332
0.424,1.23194,0.524453
0.425,1.23253,0.524575
0.426,1.23311,0.524697
0.427,1.2337,0.524819
0.428,1.23429,0.524942
0.429,1.23487,0.525065
0.43,1.23546,0.525188
0.431,1.23604,0.525312
0.432,1.23663,0.525436
0.433,1.23722,0.52556
0.434,1.23781,0.525685
0.435,1.23839,0.52581
0.436,1.23898,0.525935
0.437,1.23957,0.526061
0.438,1.24015,0.526187
0.439,1.24074,0.526313
0.44,1.24133,0.52644
0.441,1.24192,0.526567
0.442,1.24251,0.526695
0.443,1.24309,0.526822
0.444,1.24368,0.52695
0.445,1.24427,0.527079
0.446,1.24486,0.527208
0.447,1.24545,0.527337
0.448,1.24604,0.527466
