t,K,Z
2.75,2.63259,1.0329
2.76,2.6315,1.0354
2.77,2.63035,1.03786
2.78,2.62913,1.04028
2.79,2.62785,1.04268
2.8,2.62651,1.04503
2.81,2.6251,1.04736
2.82,2.62363,1.04965
2.83,2.62211,1.0519
2.84,2.62052,1.05412
2.85,2.61888,1.05631
2.86,2.61718,1.05846
2.87,2.61543,1.06058
2.88,2.61362,1.06266
2.89,2.61176,1.06471
2.9,2.60985,1.06673
2.91,2.60788,1.06871
2.92,2.60587,1.07065
2.93,2.6038,1.07257
2.94,2.60169,1.07445
2.95,2.59953,1.07629
2.96,2.59733,1.0781
2.97,2.59507,1.07988
2.98,2.59278,1.08163
2.99,2.59044,1.08334
3,2.58806,1.08502
3.01,2.58564,1.08667
3.02,2.58317,1.08828
3.03,2.58067,1.08986
3.04,2.57813,1.09141
3.05,2.57555,1.09293
3.06,2.57294,1.09442
3.07,2.57029,1.09587
3.08,2.56761,1.09729
3.09,2.56489,1.09869
3.1,2.56214,1.10005
3.11,2.55936,1.10138
3.12,2.55654,1.10268
3.13,2.5537,1.10394
3.14,2.55083,1.10518
3.15,2.54793,1.10639
3.16,2.545,1.10757
3.17,2.54205,1.10872
3.18,2.53907,1.10984
3.19,2.53607,1.11094
3.2,2.53304,1.112
3.21,2.52999,1.11303
3.22,2.52691,1.11404
3.23,2.52382,1.11502
3.24,2.5207,1.11597
3.25,2.51757,1.1169
3.26,2.51441,1.11779
3.27,2.51124,1.11866
3.28,2.50805,1.11951
3.29,2.50484,1.12033
3.3,2.50162,1.12112
3.31,2.49838,1.12189
3.32,2.49513,1.12263
3.33,2.49186,1.12334
3.34,2.48858,1.12403
3.35,2.48529,1.1247
3.36,2.48198,1.12534
3.37,2.47867,1.12596
3.38,2.47534,1.12656
3.39,2.47201,1.12713
3.4,2.46866,1.12768
3.41,2.46531,1.1282
3.42,2.46194,1.1287
3.43,2.45858,1.12918
3.44,2.4552,1.12964
3.45,2.45182,1.13008
3.46,2.44843,1.13049
3.47,2.44504,1.13089
3.48,2.44164,1.13126
3.49,2.43824,1.13161
3.5,2.43483,1.13194
3.51,2.43142,1.13225
3.52,2.42801,1.13254
3.53,2.4246,1.13282
3.54,2.42119,1.13307
3.55,2.41777,1.1333
3.56,2.41436,1.13352
3.57,2.41094,1.13371
3.58,2.40753,1.13389
3.59,2.40412,1.13405
3.6,2.4007,1.13419
3.61,2.39729,1.13431
3.62,2.39389,1.13442
3.63,2.39048,1.13451
3.64,2.38708,1.13458
3.65,2.38368,1.13464
3.66,2.38029,1.13468
3.67,2.3769,1.1347
3.68,2.37351,1.13471
3.69,2.37013,1.1347
3.7,2.36676,1.13468
3.71,2.36339,1.13464
3.72,2.36003,1.13459
3.73,2.35667,1.13452
3.74,2.35332,1.13444
3.75,2.34998,1.13434
3.76,2.34665,1.13423
3.77,2.34332,1.13411
3.78,2.34,1.13397
3.79,2.33669,1.13382
3.8,2.33339,1.13365
3.81,2.3301,1.13348
3.82,2.32681,1.13329
3.83,2.32354,1.13308
3.84,2.32028,1.13287
3.85,2.31702,1.13264
3.86,2.31378,1.13241
3.87,2.31054,1.13216
3.88,2.30732,1.13189
3.89,2.30411,1.13162
3.9,2.30091,1.13134
3.91,2.29772,1.13104
3.92,2.29454,1.13074
3.93,2.29138,1.13042
3.94,2.28822,1.1301
3.95,2.28508,1.12976
3.96,2.28195,1.12941
3.97,2.27884,1.12906
3.98,2.27573,1.12869
3.99,2.27264,1.12832
4,2.26957,1.12793
4.01,2.2665,1.12754
4.02,2.26345,1.12714
4.03,2.26041,1.12673
4.04,2.25739,1.12631
4.05,2.25438,1.12588
4.06,2.25139,1.12545
4.07,2.24841,1.125
4.08,2.24544,1.12455
4.09,2.24249,1.12409
4.1,2.23955,1.12363
4.11,2.23663,1.12315
4.12,2.23372,1.12267
4.13,2.23083,1.12218
4.14,2.22795,1.12169
4.15,2.22509,1.12119
4.16,2.22224,1.12068
4.17,2.21941,1.12016
4.18,2.21659,1.11964
4.19,2.21379,1.11912
4.2,2.211,1.11858
4.21,2.20823,1.11804
4.22,2.20548,1.1175
4.23,2.20274,1.11695
4.24,2.20002,1.11639
4.25,2.19731,1.11583
