x	y
352.611	429.885
353.247	430.657
353.883	431.429
354.518	432.201
355.154	432.972
355.79	433.744
356.426	434.516
357.061	435.288
357.697	436.06
358.333	436.832
358.969	437.604
359.604	438.376
360.24	439.148
360.876	439.919
361.512	440.691
362.148	441.463
362.783	442.235
363.419	443.007
364.055	443.779
364.691	444.551
365.327	445.322
365.962	446.094
366.598	446.866
367.234	447.638
367.87	448.41
368.506	449.182
369.142	449.953
369.777	450.725
370.413	451.497
371.049	452.269
371.685	453.041
372.321	453.812
372.957	454.584
373.593	455.356
374.229	456.128
374.865	456.899
375.5	457.671
376.136	458.443
376.772	459.215
377.408	459.986
378.044	460.758
378.68	461.53
379.316	462.302
379.952	463.073
380.588	463.845
381.224	464.617
381.86	465.389
382.496	466.16
383.132	466.932
383.768	467.704
384.404	468.475
385.04	469.247
385.676	470.019
386.312	470.79
386.948	471.562
387.584	472.334
388.22	473.106
388.856	473.877
389.492	474.649
390.128	475.42
390.764	476.192
391.4	476.964
392.036	477.735
392.672	478.507
393.308	479.279
393.944	480.05
394.58	480.822
395.216	481.594
395.852	482.365
396.489	483.137
397.125	483.908
397.761	484.68
398.397	485.452
399.033	486.223
399.669	486.995
400.305	487.766
400.941	488.538
401.578	489.31
402.214	490.081
402.85	490.853
403.486	491.624
404.122	492.396
404.758	493.167
405.394	493.939
406.031	494.71
406.667	495.482
407.303	496.254
407.939	497.025
408.575	497.797
409.212	498.568
409.848	499.34
410.484	500.111
411.12	500.883
411.757	501.654
412.393	502.426
413.029	503.197
413.665	503.969
414.302	504.74
414.938	505.512
415.574	506.283
416.21	507.054
416.847	507.826
417.483	508.597
418.119	509.369
418.755	510.14
419.392	510.912
420.028	511.683
420.664	512.455
421.301	513.226
421.937	513.997
422.573	514.769
423.21	515.54
423.846	516.312
424.482	517.083
425.119	517.855
425.755	518.626
426.391	519.397
427.028	520.169
427.664	520.94
428.3	521.711
428.937	522.483
429.573	523.254
430.21	524.026
430.846	524.797
431.482	525.568
432.119	526.34
432.755	527.111
433.392	527.882
434.028	528.654
434.665	529.425
435.301	530.196
435.937	530.968
436.574	531.739
437.21	532.51
437.847	533.282
438.483	534.053
439.12	534.824
439.756	535.596
440.393	536.367
441.029	537.138
441.666	537.909
442.302	538.681
442.939	539.452
443.575	540.223
444.212	540.994
444.848	541.766
445.485	542.537
446.121	543.308
446.758	544.079
447.394	544.851
448.031	545.622
448.667	546.393
449.304	547.164
449.941	547.936
450.577	548.707
451.214	549.478
451.85	550.249
452.487	551.02
453.124	551.792
453.76	552.563
454.397	553.334
455.033	554.105
455.67	554.876
456.307	555.648
456.943	556.419
457.58	557.19
458.217	557.961
458.853	558.732
459.49	559.503
460.126	560.274
460.763	561.046
461.4	561.817
462.036	562.588
462.673	563.359
463.31	564.13
463.947	564.901
464.583	565.672
465.22	566.443
465.857	567.215
466.493	567.986
467.13	568.757
467.767	569.528
468.404	570.299
469.04	571.07
469.677	571.841
470.314	572.612
470.951	573.383
471.587	574.154
472.224	574.925
472.861	575.696
473.498	576.467
474.134	577.239
474.771	578.01
475.408	578.781
476.045	579.552
476.682	580.323
477.318	581.094
477.955	581.865
478.592	582.636
479.229	583.407
479.866	584.178
480.503	584.949
481.139	585.72
481.776	586.491
482.413	587.262
483.05	588.033
483.687	588.804
484.324	589.575
484.961	590.346
485.597	591.116
486.234	591.887
486.871	592.658
487.508	593.429
488.145	594.2
488.782	594.971
489.419	595.742
490.056	596.513
490.693	597.284
491.33	598.055
491.967	598.826
492.604	599.597
493.241	600.368
493.878	601.138
494.514	601.909
495.151	602.68
495.788	603.451
496.425	604.222
497.062	604.993
497.699	605.764
498.336	606.535
498.973	607.305
499.61	608.076
500.247	608.847
500.884	609.618
501.521	610.389
502.159	611.16
502.796	611.931
503.433	612.701
504.07	613.472
504.707	614.243
505.344	615.014
505.981	615.785
506.618	616.555
507.255	617.326
507.892	618.097
508.529	618.868
509.166	619.639
509.803	620.409
510.441	621.18
511.078	621.951
511.715	622.722
512.352	623.492
512.989	624.263
513.626	625.034
514.263	625.805
514.9	626.575
515.538	627.346
516.175	628.117
516.812	628.888
517.449	629.658
518.086	630.429
518.723	631.2
519.361	631.97
519.998	632.741
520.635	633.512
521.272	634.283
521.909	635.053
522.547	635.824
523.184	636.595
523.821	637.365
524.458	638.136
525.096	638.907
525.733	639.677
526.37	640.448
527.007	641.219
527.645	641.989
528.282	642.76
528.919	643.53
529.556	644.301
530.194	645.072
530.831	645.842
531.468	646.613
532.106	647.384
532.743	648.154
533.38	648.925
534.018	649.695
534.655	650.466
535.292	651.237
535.93	652.007
536.567	652.778
537.204	653.548
