x,y_actual,y_interpolated
-4.3,9.33029e-09,-0.258925
-4.2,2.18296e-08,-0.204115
-4.1,5.00622e-08,-0.112095
-4,1.12535e-07,-0.0309797
-3.9,2.4796e-07,0.0201123
-3.8,5.35535e-07,0.040599
-3.7,1.13373e-06,0.0389378
-3.6,2.35258e-06,0.0258165
-3.5,4.78512e-06,0.010219
-3.4,9.54016e-06,-0.00217295
-3.3,1.86437e-05,-0.00900839
-3.2,3.57128e-05,-0.0104556
-3.1,6.70548e-05,-0.00811534
-3,0.00012341,-0.00402734
-2.9,0.00022263,4.05412e-05
-2.8,0.000393669,0.00297056
-2.7,0.000682328,0.00438133
-2.6,0.00115923,0.00451005
-2.5,0.00193045,0.00399148
-2.4,0.00315111,0.0036221
-2.3,0.00504176,0.00417325
-2.2,0.00790705,0.00628667
-2.1,0.0121552,0.0104578
-2,0.0183156,0.0170901
-1.9,0.0270518,0.0265905
-1.8,0.0391639,0.0394707
-1.7,0.0555762,0.0564203
-1.6,0.0773047,0.0783304
-1.5,0.105399,0.106251
-1.4,0.140858,0.141287
-1.3,0.18452,0.184441
-1.2,0.236928,0.236427
-1.1,0.298197,0.297483
-1,0.367879,0.367205
-0.9,0.444858,0.444442
-0.8,0.527292,0.527251
-0.7,0.612626,0.612948
-0.6,0.697676,0.698233
-0.5,0.778801,0.779394
-0.4,0.852144,0.852573
-0.3,0.913931,0.914058
-0.2,0.960789,0.960578
-0.1,0.99005,0.989578
-1.02696e-15,1,0.999431
0.1,0.99005,0.989578
0.2,0.960789,0.960578
0.3,0.913931,0.914058
0.4,0.852144,0.852573
0.5,0.778801,0.779394
0.6,0.697676,0.698233
0.7,0.612626,0.612948
0.8,0.527292,0.527251
0.9,0.444858,0.444442
1,0.367879,0.367205
1.1,0.298197,0.297483
1.2,0.236928,0.236427
1.3,0.18452,0.184441
1.4,0.140858,0.141287
1.5,0.105399,0.106251
1.6,0.0773047,0.0783304
1.7,0.0555762,0.0564203
1.8,0.0391639,0.0394707
1.9,0.0270518,0.0265905
2,0.0183156,0.0170901
2.1,0.0121552,0.0104578
