q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]  , c = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 0.840000 , x = [-6.896552   , 3.222198   , -1.117565   , -3.191164   , 4.799677   ]  , c = [-6.896552   , 3.222198   , -1.117565   , -3.191164   , 4.799677   ]
q = 0.850000 , x = [-6.956522   , 3.238315   , -1.121875   , -3.225272   , 4.843342   ]  , c = [-6.956522   , 3.238315   , -1.121875   , -3.225272   , 4.843342   ]
q = 0.860000 , x = [-7.017544   , 3.254715   , -1.126261   , -3.259978   , 4.887774   ]  , c = [-7.017544   , 3.254715   , -1.126261   , -3.259978   , 4.887774   ]
q = 0.870000 , x = [-7.079646   , 3.271405   , -1.130725   , -3.295299   , 4.932992   ]  , c = [-7.079646   , 3.271405   , -1.130725   , -3.295299   , 4.932992   ]
q = 0.880000 , x = [-7.142857   , 3.288393   , -1.135268   , -3.331250   , 4.979018   ]  , c = [-7.142857   , 3.288393   , -1.135268   , -3.331250   , 4.979018   ]
q = 0.890000 , x = [-7.207207   , 3.305687   , -1.139893   , -3.367849   , 5.025873   ]  , c = [-7.207207   , 3.305687   , -1.139893   , -3.367849   , 5.025873   ]
q = 0.900000 , x = [-7.272727   , 3.323295   , -1.144602   , -3.405114   , 5.073580   ]  , c = [-7.272727   , 3.323295   , -1.144602   , -3.405114   , 5.073580   ]
q = 0.910000 , x = [-7.339450   , 3.341227   , -1.149398   , -3.443062   , 5.122162   ]  , c = [-7.339450   , 3.341227   , -1.149398   , -3.443062   , 5.122162   ]
q = 0.920000 , x = [-7.407407   , 3.359491   , -1.154282   , -3.481713   , 5.171644   ]  , c = [-7.407407   , 3.359491   , -1.154282   , -3.481713   , 5.171644   ]
q = 0.930000 , x = [-7.476636   , 3.378096   , -1.159258   , -3.521086   , 5.222050   ]  , c = [-7.476636   , 3.378096   , -1.159258   , -3.521086   , 5.222050   ]
q = 0.940000 , x = [-7.547170   , 3.397052   , -1.164328   , -3.561203   , 5.273408   ]  , c = [-7.547170   , 3.397052   , -1.164328   , -3.561203   , 5.273408   ]
q = 0.950000 , x = [-7.619048   , 3.416369   , -1.169494   , -3.602083   , 5.325744   ]  , c = [-7.619048   , 3.416369   , -1.169494   , -3.602083   , 5.325744   ]
