q = 0.000000 , x = [-nan   , -nan   , -nan   , -nan   , -nan   ]
q = 1.010000 , x = [400.000000   , -106.131250   , 28.128125   , 228.231250   , -291.471875   ]
q = 1.020000 , x = [200.000000   , -52.381250   , 13.753125   , 114.481250   , -145.846875   ]
q = 1.030000 , x = [133.333333   , -34.464583   , 8.961458   , 76.564583   , -97.305208   ]
q = 1.040000 , x = [100.000000   , -25.506250   , 6.565625   , 57.606250   , -73.034375   ]
q = 1.050000 , x = [80.000000   , -20.131250   , 5.128125   , 46.231250   , -58.471875   ]
q = 1.060000 , x = [66.666667   , -16.547917   , 4.169792   , 38.647917   , -48.763542   ]
q = 1.070000 , x = [57.142857   , -13.988393   , 3.485268   , 33.231250   , -41.829018   ]
q = 1.080000 , x = [50.000000   , -12.068750   , 2.971875   , 29.168750   , -36.628125   ]
q = 1.090000 , x = [44.444444   , -10.575694   , 2.572569   , 26.009028   , -32.582986   ]
q = 1.100000 , x = [40.000000   , -9.381250   , 2.253125   , 23.481250   , -29.346875   ]
q = 1.110000 , x = [36.363636   , -8.403977   , 1.991761   , 21.413068   , -26.699148   ]
q = 1.120000 , x = [33.333333   , -7.589583   , 1.773958   , 19.689583   , -24.492708   ]
q = 1.130000 , x = [30.769231   , -6.900481   , 1.589663   , 18.231250   , -22.625721   ]
q = 1.140000 , x = [28.571429   , -6.309821   , 1.431696   , 16.981250   , -21.025446   ]
q = 1.150000 , x = [26.666667   , -5.797917   , 1.294792   , 15.897917   , -19.638542   ]
q = 1.160000 , x = [25.000000   , -5.350000   , 1.175000   , 14.950000   , -18.425000   ]
q = 1.170000 , x = [23.529412   , -4.954779   , 1.069301   , 14.113603   , -17.354228   ]
q = 1.180000 , x = [22.222222   , -4.603472   , 0.975347   , 13.370139   , -16.402431   ]
q = 1.190000 , x = [21.052632   , -4.289145   , 0.891283   , 12.704934   , -15.550822   ]
q = 1.200000 , x = [20.000000   , -4.006250   , 0.815625   , 12.106250   , -14.784375   ]
q = 1.210000 , x = [19.047619   , -3.750298   , 0.747173   , 11.564583   , -14.090923   ]
q = 1.220000 , x = [18.181818   , -3.517614   , 0.684943   , 11.072159   , -13.460511   ]
q = 1.230000 , x = [17.391304   , -3.305163   , 0.628125   , 10.622554   , -12.884918   ]
q = 1.240000 , x = [16.666667   , -3.110417   , 0.576042   , 10.210417   , -12.357292   ]
q = 1.250000 , x = [16.000000   , -2.931250   , 0.528125   , 9.831250   , -11.871875   ]
q = 1.260000 , x = [15.384615   , -2.765865   , 0.483894   , 9.481250   , -11.423798   ]
q = 1.270000 , x = [14.814815   , -2.612731   , 0.442940   , 9.157176   , -11.008912   ]
q = 1.280000 , x = [14.285714   , -2.470536   , 0.404911   , 8.856250   , -10.623661   ]
q = 1.290000 , x = [13.793103   , -2.338147   , 0.369504   , 8.576078   , -10.264978   ]
q = 1.300000 , x = [13.333333   , -2.214583   , 0.336458   , 8.314583   , -9.930208   ]
q = 1.310000 , x = [12.903226   , -2.098992   , 0.305544   , 8.069960   , -9.617036   ]
q = 1.320000 , x = [12.500000   , -1.990625   , 0.276563   , 7.840625   , -9.323438   ]
q = 1.330000 , x = [12.121212   , -1.888826   , 0.249337   , 7.625189   , -9.047633   ]
q = 1.340000 , x = [11.764706   , -1.793015   , 0.223713   , 7.422426   , -8.788051   ]
q = 1.350000 , x = [11.428571   , -1.702679   , 0.199554   , 7.231250   , -8.543304   ]
q = 1.360000 , x = [11.111111   , -1.617361   , 0.176736   , 7.050694   , -8.312153   ]
